2291,2011/4/10,2,0,4,7,0,0,0,2,0.36,0.3636,1,0.0896,10
7983,2011/12/4,4,0,12,6,0,0,0,1,0.24,0.2879,0.93,0,4
5066,2011/8/3,3,0,8,23,0,3,1,2,0.68,0.6364,0.89,0.0896,56
2345,2011/4/12,2,0,4,14,0,2,1,2,0.5,0.4848,0.82,0.2836,44
2883,2011/5/5,2,0,5,0,0,4,1,1,0.36,0.3485,0.66,0.194,27
6631,2011/10/8,4,0,10,20,0,6,0,1,0.52,0.5,0.77,0.1045,202
7773,2011/11/25,4,0,11,11,0,5,1,1,0.4,0.4091,0.66,0.1045,226
2742,2011/4/29,2,0,4,3,0,5,1,1,0.46,0.4545,0.59,0.0896,5
7424,2011/11/10,4,0,11,22,0,4,1,1,0.36,0.3333,0.53,0.2836,89
672,2011/1/31,1,0,1,7,0,1,1,2,0.16,0.1364,0.64,0.2836,72
985,2011/2/13,1,0,2,16,0,0,0,2,0.42,0.4242,0.28,0.3284,134
5466,2011/8/20,3,0,8,15,0,6,0,1,0.8,0.7273,0.43,0.194,390
6764,2011/10/14,4,0,10,9,0,5,1,2,0.56,0.5303,0.94,0.2239,180
5403,2011/8/18,3,0,8,0,0,4,1,1,0.68,0.6364,0.65,0.1343,56
4765,2011/7/22,3,0,7,10,0,5,1,1,0.9,0.9242,0.53,0.0896,115
5837,2011/9/5,3,0,9,15,1,1,0,2,0.68,0.6364,0.79,0.2836,253
2697,2011/4/27,2,0,4,6,0,3,1,1,0.56,0.5303,0.94,0.2537,84
2897,2011/5/5,2,0,5,14,0,4,1,1,0.54,0.5152,0.28,0.4478,154
8459,2011/12/24,1,0,12,2,0,6,0,2,0.32,0.3333,0.66,0.0896,26
4019,2011/6/21,3,0,6,8,0,2,1,2,0.62,0.5606,0.88,0.1045,401
6915,2011/10/20,4,0,10,17,0,4,1,2,0.48,0.4697,0.48,0.3881,494
5224,2011/8/10,3,0,8,13,0,3,1,1,0.82,0.7273,0.38,0.2836,191
552,2011/1/25,1,0,1,4,0,2,1,1,0.14,0.1667,0.74,0.1045,1
3765,2011/6/10,2,0,6,18,0,5,1,1,0.8,0.7727,0.59,0.2239,463
6222,2011/9/21,3,0,9,19,0,3,1,3,0.62,0.5455,0.94,0,283
2045,2011/3/31,2,0,3,1,0,4,1,3,0.24,0.2273,0.93,0.194,5
5557,2011/8/24,3,0,8,10,0,3,1,1,0.7,0.6515,0.58,0.2836,146
6135,2011/9/18,3,0,9,4,0,0,0,1,0.44,0.4394,0.77,0.2239,1
1136,2011/2/20,1,0,2,1,0,0,0,1,0.24,0.197,0.41,0.4627,16
7750,2011/11/24,4,0,11,12,1,4,0,1,0.46,0.4545,0.36,0.2239,150
319,2011/1/14,1,0,1,18,0,5,1,1,0.2,0.2576,0.47,0,139
6769,2011/10/14,4,0,10,14,0,5,1,1,0.62,0.6212,0.43,0.3582,156
