3736,2011/6/9,2,0,6,13,0,4,1,1,0.9,0.8182,0.37,0.0896,136
7736,2011/11/23,4,0,11,22,0,3,1,1,0.34,0.303,0.61,0.4478,62
8397,2011/12/21,1,0,12,12,0,3,1,3,0.46,0.4545,0.88,0.3881,61
37,2011/1/2,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
4088,2011/6/24,3,0,6,5,0,5,1,1,0.64,0.5758,0.89,0.0896,20
7341,2011/11/7,4,0,11,11,0,1,1,1,0.42,0.4242,0.77,0.1045,128
4960,2011/7/30,3,0,7,13,0,6,0,1,0.88,0.7576,0.29,0,308
3632,2011/6/5,2,0,6,5,0,0,0,2,0.62,0.6061,0.61,0.1343,6
7723,2011/11/23,4,0,11,9,0,3,1,2,0.52,0.5,0.94,0.194,167
6997,2011/10/24,4,0,10,3,0,1,1,1,0.4,0.4091,0.82,0.0896,4
2965,2011/5/8,2,0,5,10,0,0,0,1,0.58,0.5455,0.49,0.1343,244
75,2011/1/4,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
3237,2011/5/19,2,0,5,18,0,4,1,1,0.6,0.6212,0.55,0.1642,513
7798,2011/11/26,4,0,11,12,0,6,0,1,0.44,0.4394,0.51,0,309
5789,2011/9/3,3,0,9,15,0,6,0,1,0.72,0.6818,0.7,0.1642,388
2321,2011/4/11,2,0,4,14,0,1,1,2,0.72,0.6667,0.54,0.3582,145
1430,2011/3/4,1,0,3,20,0,5,1,2,0.3,0.2879,0.7,0.194,87
345,2011/1/15,1,0,1,20,0,6,0,2,0.32,0.303,0.39,0.2537,41
5759,2011/9/2,3,0,9,9,0,5,1,2,0.62,0.5758,0.83,0.1045,220
6239,2011/9/22,3,0,9,12,0,4,1,2,0.66,0.6061,0.83,0.1642,176
1825,2011/3/21,2,0,3,18,0,1,1,2,0.52,0.5,0.72,0.2239,276
4317,2011/7/3,3,0,7,18,0,0,0,3,0.8,0.7424,0.49,0.8507,181
1486,2011/3/7,1,0,3,6,0,1,1,1,0.2,0.1818,0.75,0.3881,34
7240,2011/11/3,4,0,11,6,0,4,1,1,0.34,0.3333,0.76,0.194,99
6479,2011/10/2,4,0,10,12,0,0,0,2,0.4,0.4091,0.62,0.194,321
7118,2011/10/29,4,0,10,4,0,6,0,3,0.3,0.2727,0.81,0.4179,1
6898,2011/10/20,4,0,10,0,0,4,1,1,0.56,0.5303,0.94,0.2985,26
5967,2011/9/11,3,0,9,3,0,0,0,2,0.62,0.5909,0.78,0.0896,45
6079,2011/9/15,3,0,9,20,0,4,1,1,0.46,0.4545,0.63,0.3284,248
4431,2011/7/8,3,0,7,12,0,5,1,2,0.76,0.7273,0.7,0.2836,213
5166,2011/8/8,3,0,8,3,0,1,1,1,0.66,0.5909,0.89,0,1
7605,2011/11/18,4,0,11,11,0,5,1,1,0.3,0.303,0.36,0.1343,140
3503,2011/5/30,2,0,5,20,1,1,0,1,0.76,0.7121,0.58,0,237
4468,2011/7/10,3,0,7,1,0,0,0,1,0.7,0.6515,0.61,0.1343,113
6752,2011/10/13,4,0,10,21,0,4,1,1,0.62,0.5758,0.83,0.194,123
7700,2011/11/22,4,0,11,10,0,2,1,3,0.4,0.4091,0.94,0,52
5010,2011/8/1,3,0,8,15,0,1,1,1,0.9,0.7879,0.27,0,129
6477,2011/10/2,4,0,10,10,0,0,0,2,0.36,0.3333,0.71,0.2836,248
